algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 400)",10,0.9999499999999999,1.0,1.0,0.08592284,863.6945577987128,1.1330843,1.5947938,1.7614388,1.9724411,0.0,76.04919409751892,10.0,210816.0,244.08628964538576,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 600)",10,0.99996,1.0,1.0,0.08592281,657.4243947776512,1.4953613,2.060449,2.2866888,2.5758884,0.0,76.04919409751892,10.0,210816.0,320.66957307128905,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 80)",10,0.9994400000000001,0.99993,1.0,0.08592601,2554.17966931434,0.38313866,0.5450249,0.61631435,0.68164617,0.0,76.04919409751892,10.0,210816.0,82.53765486145019,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 36, 'efConstruction': 500}, 'efQuery': 800)",10,0.99996,1.0,1.0,0.08592281,540.4089529867722,1.8204451,2.5053144,2.766637,3.1299603,0.0,76.04919409751892,10.0,210816.0,390.1045658752442,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 10)",10,0.95196,0.98826,0.99993,0.08608614,8020.5681875766695,0.11873245,0.17905235,0.2155304,0.25988066,0.0,76.44706392288208,10.0,216576.0,27.002575744628906,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 120)",10,0.99975,1.0,1.0,0.08592377,1881.4772302804727,0.5168915,0.74936146,0.867133,0.98562753,0.0,76.44706392288208,10.0,216576.0,115.10955142822266,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 20)",10,0.98804,0.99809,0.99993,0.08596553,5621.47209169546,0.1718998,0.25750393,0.30755997,0.37145638,0.0,76.44706392288208,10.0,216576.0,38.52656323242187,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 200)",10,0.9998699999999999,1.0,1.0,0.08592306,1368.58764943411,0.7121563,1.0283113,1.139164,1.2426428,0.0,76.44706392288208,10.0,216576.0,158.24781123046876,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 40)",10,0.9977499999999999,0.99982,1.0,0.08593188,3812.8227005954805,0.25510788,0.37288666,0.42748916,0.4863781,0.0,76.44706392288208,10.0,216576.0,56.80201179199219,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 400)",10,0.9999499999999999,1.0,1.0,0.08592284,842.0142612905296,1.1633635,1.6431928,1.8115044,1.9786407,0.0,76.44706392288208,10.0,216576.0,257.21179552001956,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 600)",10,0.99996,1.0,1.0,0.08592281,633.8351274347709,1.5435219,2.1760583,2.4583387,2.7969034,0.0,76.44706392288208,10.0,216576.0,341.69138096923825,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 80)",10,0.9994500000000001,0.99993,1.0,0.085925914,2386.6060222098736,0.4079342,0.5982041,0.6800047,0.7672322,0.0,76.44706392288208,10.0,216576.0,90.74643991699219,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 48, 'efConstruction': 500}, 'efQuery': 800)",10,0.99996,1.0,1.0,0.08592281,522.6486992884643,1.8833876,2.5868535,2.8655598,3.1521373,0.0,76.44706392288208,10.0,216576.0,414.3815918701172,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 10)",10,0.7194200000000001,0.79855,0.96928,0.08864653,18621.03349456482,0.049352646,0.07630582,0.09847153,0.14233752,0.0,46.00743770599365,10.0,196128.0,10.532605510711669,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 120)",10,0.98166,0.9946999999999999,0.99787,0.086180076,4538.410848980555,0.21600723,0.27823448,0.32305717,0.40507713,0.0,46.00743770599365,10.0,196128.0,43.21512673187256,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 20)",10,0.84855,0.91401,0.9860599999999999,0.08732801,14039.370315946619,0.06771088,0.10037422,0.12683868,0.15425706,0.0,46.00743770599365,10.0,196128.0,13.969857307434081,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 200)",10,0.9902799999999999,0.99787,0.9994,0.08603519,3091.337614901496,0.3194809,0.3979206,0.44322246,0.5796086,0.0,46.00743770599365,10.0,196128.0,63.4443805343628,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 40)",10,0.93054,0.9703900000000001,0.99292,0.086627975,9438.686402908183,0.10180473,0.14281273,0.17595291,0.22554514,0.0,46.00743770599365,10.0,196128.0,20.77916265335083,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 400)",10,0.99491,0.9991899999999999,0.9999,0.08596667,1757.3416908692145,0.5619526,0.7030964,0.7817908,0.9701457,0.0,46.00743770599365,10.0,196128.0,111.60493205108642,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 600)",10,0.9962899999999999,0.99953,1.0,0.08595061,1298.60832653502,0.76174736,0.9389161,1.024487,1.1422681,0.0,46.00743770599365,10.0,196128.0,151.02937197647094,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 80)",10,0.96976,0.9898300000000001,0.99645,0.08631792,6009.615260622737,0.16236305,0.21386147,0.2510571,0.31495187,0.0,46.00743770599365,10.0,196128.0,32.63569987335205,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 4, 'efConstruction': 500}, 'efQuery': 800)",10,0.9968999999999999,0.99964,1.0,0.08594463,1006.9417769596923,0.98228455,1.2228489,1.3363432,1.4915496,0.0,46.00743770599365,10.0,196128.0,194.77590908203123,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 10)",10,0.95204,0.9882,0.9997299999999999,0.086090215,8543.183231480469,0.11110306,0.17118454,0.21028751,0.26130885,0.0,77.36717677116394,10.0,224064.0,26.227226307678222,fashion-mnist-784-euclidean
hnswlib,"hnswlib ({'M': 64, 'efConstruction': 500}, 'efQuery': 120)",10,0.9997299999999999,1.0,1.0,0.08592386,1895.1046587640117,0.5135536,0.75387955,0.8516358,0.98014414,0.0,77.36717677116394,10.0,224064.0,118.23304795532225,fashion-mnist-784-euclidean
